score_mode,fine_role,assistant_turn_distance,samples,kept_fraction_mean,heavy_kept_fraction_mean,score_sum_mean,reactivated_messages,reactivated_as_heavy_messages
role_decay,asst_gen,63,1,0.0,0.0,5.536725049791469e-14,0,0
role_decay,asst_greeting,0,40,1.0,0.0,13.19999885559082,0,0
role_decay,asst_greeting,1,40,1.0,0.45,12.640364646911621,0,18
role_decay,asst_greeting,2,40,1.0,1.0,12.104453086853027,0,22
role_decay,asst_greeting,3,38,1.0,1.0,11.591263771057129,0,0
role_decay,asst_greeting,4,38,0.9832535885167465,0.9736842105263158,11.099830627441406,0,0
role_decay,asst_greeting,5,31,1.0,1.0,10.629236221313477,0,1
role_decay,asst_greeting,6,17,1.0,1.0,10.178590774536133,0,0
role_decay,asst_greeting,7,10,1.0,1.0,9.747052192687988,0,0
role_decay,asst_greeting,8,10,1.0,1.0,9.333807945251465,0,0
role_decay,asst_greeting,9,8,1.0,1.0,8.93808650970459,0,0
role_decay,asst_greeting,10,8,1.0,1.0,8.559141159057617,0,0
role_decay,asst_greeting,11,6,1.0,1.0,8.19626235961914,0,0
role_decay,asst_greeting,12,6,1.0,1.0,7.848767280578613,0,0
role_decay,asst_greeting,13,5,1.0,1.0,7.516005992889404,0,0
role_decay,asst_greeting,14,4,1.0,1.0,7.197350025177002,0,0
role_decay,asst_greeting,15,2,1.0,1.0,6.892206192016602,0,0
role_decay,asst_greeting,16,2,1.0,1.0,6.59999942779541,0,0
role_decay,asst_greeting,17,2,1.0,1.0,6.3201823234558105,0,0
role_decay,asst_greeting,18,2,1.0,1.0,6.052226543426514,0,0
role_decay,asst_greeting,19,2,1.0,1.0,5.7956318855285645,0,0
role_decay,asst_greeting,20,2,1.0,1.0,5.549915313720703,0,0
role_decay,asst_greeting,21,2,1.0,1.0,5.314618110656738,0,0
role_decay,asst_greeting,22,2,1.0,1.0,5.089295387268066,0,0
role_decay,asst_greeting,23,2,1.0,1.0,4.873526096343994,0,0
role_decay,asst_greeting,24,2,1.0,1.0,4.666903972625732,0,0
role_decay,asst_greeting,25,2,1.0,1.0,4.469043254852295,0,0
role_decay,asst_greeting,26,2,1.0,1.0,4.279570579528809,0,0
role_decay,asst_greeting,27,2,1.0,1.0,4.09813117980957,0,0
role_decay,asst_greeting,28,2,1.0,1.0,3.9243836402893066,0,0
role_decay,asst_greeting,29,2,1.0,1.0,3.758002996444702,0,0
role_decay,asst_greeting,30,2,1.0,1.0,3.598675012588501,0,0
role_decay,asst_greeting,31,2,1.0,1.0,3.446103096008301,0,0
role_decay,asst_greeting,32,2,1.0,1.0,3.299999713897705,0,0
role_decay,asst_greeting,33,2,1.0,1.0,3.1600911617279053,0,0
role_decay,asst_greeting,34,2,1.0,1.0,3.026113271713257,0,0
role_decay,asst_greeting,35,2,1.0,1.0,2.8978159427642822,0,0
role_decay,asst_greeting,36,2,1.0,1.0,2.7749576568603516,0,0
role_decay,asst_greeting,37,2,1.0,1.0,2.657309055328369,0,0
role_decay,asst_greeting,38,2,1.0,1.0,2.544647693634033,0,0
role_decay,asst_greeting,39,2,1.0,1.0,2.436763048171997,0,0
role_decay,asst_greeting,40,2,1.0,1.0,2.333451986312866,0,0
role_decay,asst_greeting,41,2,1.0,1.0,2.2345216274261475,0,0
role_decay,asst_greeting,42,2,1.0,1.0,2.1397852897644043,0,0
role_decay,asst_greeting,43,2,1.0,1.0,2.049065589904785,0,0
role_decay,asst_greeting,44,2,1.0,1.0,1.9621918201446533,0,0
role_decay,asst_greeting,45,2,1.0,1.0,1.879001498222351,0,0
role_decay,asst_greeting,46,2,0.36363636363636365,0.0,1.7993375062942505,0,0
role_decay,asst_greeting,47,2,0.36363636363636365,0.0,1.7230515480041504,0,0
role_decay,asst_greeting,48,2,0.36363636363636365,0.0,1.6499998569488525,0,0
role_decay,asst_greeting,49,2,0.36363636363636365,0.0,1.5800455808639526,0,0
role_decay,asst_greeting,50,2,0.36363636363636365,0.0,1.5130566358566284,0,0
role_decay,asst_greeting,51,2,0.36363636363636365,0.0,1.4489079713821411,0,0
role_decay,asst_greeting,52,2,0.36363636363636365,0.0,1.3874788284301758,0,0
role_decay,asst_greeting,53,2,0.36363636363636365,0.0,1.3286545276641846,0,0
role_decay,asst_greeting,54,2,0.36363636363636365,0.0,1.2723238468170166,0,0
role_decay,asst_greeting,55,2,0.36363636363636365,0.0,1.2183815240859985,0,0
role_decay,asst_greeting,56,2,0.36363636363636365,0.0,1.166725993156433,0,0
role_decay,asst_greeting,57,2,0.36363636363636365,0.0,1.1172608137130737,0,0
role_decay,asst_greeting,58,2,0.36363636363636365,0.0,1.0698926448822021,0,0
role_decay,asst_greeting,59,2,0.36363636363636365,0.0,1.0245327949523926,0,0
role_decay,asst_greeting,60,2,0.36363636363636365,0.0,0.9810959100723267,0,0
role_decay,asst_greeting,61,2,0.36363636363636365,0.0,0.9395007491111755,0,0
role_decay,asst_greeting,62,2,0.36363636363636365,0.0,0.8996687531471252,0,0
role_decay,asst_greeting,63,2,0.36363636363636365,0.0,0.8615257740020752,0,0
role_decay,asst_greeting,64,1,0.36363636363636365,0.0,0.8249999284744263,0,0
role_decay,asst_tool_call,0,40,0.9877840909090908,0.18329015544041452,90.2987494468689,0,0
role_decay,asst_tool_call,1,39,0.8754115725323991,0.8737848404032592,38.37668096102201,0,31
role_decay,asst_tool_call,2,29,0.09477336803296466,0.09477336803296466,14.354267251902613,0,0
