sim_id,context_turn,total_msgs,msg_idx,msg_dist,asst_turns_dist,role,fine_role,attn_mean,attn_sum,token_count,seq_len,attn_frac
ea871dd1-e45,6,24,2,4,2,assistant,asst_gen,0.007326986523688479,0.2417905552817198,33,201,0.2418031281646194
ea871dd1-e45,6,24,3,3,1,user,user_msg,0.001065233474407621,0.01917420253933718,18,201,0.019175199579949207
ea871dd1-e45,6,24,4,2,1,assistant,asst_gen,0.0040626228383928735,0.16656753637410782,41,201,0.16657619773032692
ea871dd1-e45,6,24,5,1,0,user,user_msg,0.0010804492364210696,0.010804492364210697,10,201,0.010805054187715865
ea871dd1-e45,6,24,6,0,0,assistant,asst_gen,0.005922395862977613,0.3257317724637687,55,201,0.3257487102115112
ea871dd1-e45,8,24,0,8,4,assistant,asst_greeting,0.008200579038303759,0.07380521134473383,9,283,0.07380442866926631
ea871dd1-e45,8,24,1,7,3,user,user_msg,0.004504097773280505,0.15764342206481768,35,283,0.15764175031783914
ea871dd1-e45,8,24,2,6,3,assistant,asst_gen,0.005705150412842443,0.18826996362380063,33,283,0.18826796709429933
ea871dd1-e45,8,24,3,5,2,user,user_msg,0.0007196797092479688,0.012954234766463438,18,283,0.012954097391858481
ea871dd1-e45,8,24,4,4,2,assistant,asst_gen,0.002408112592033794,0.09873261627338555,41,283,0.09873156925251543
ea871dd1-e45,8,24,5,3,1,user,user_msg,0.0007438224837339173,0.007438224837339173,10,283,0.007438145957867168
ea871dd1-e45,8,24,6,2,1,assistant,asst_gen,0.001659620871396328,0.09127914792679805,55,283,0.0912781799470514
ea871dd1-e45,8,24,7,1,0,user,user_msg,0.0005206922775177478,0.020306998823192167,39,283,0.02030678347539344
ea871dd1-e45,8,24,8,0,0,assistant,asst_gen,0.008129785699086704,0.34958078506072826,43,283,0.3495770778929091
ea871dd1-e45,10,24,0,10,5,assistant,asst_greeting,0.008434484460546324,0.07591036014491692,9,404,0.07590710786414923
ea871dd1-e45,10,24,1,9,4,user,user_msg,0.0022990155993847156,0.08046554597846504,35,404,0.0804620985366778
ea871dd1-e45,10,24,2,8,4,assistant,asst_gen,0.005429523184398252,0.1791742650851423,33,404,0.17916658859651427
ea871dd1-e45,10,24,3,7,3,user,user_msg,0.0007126820950091955,0.01282827771016552,18,404,0.01282772809927183
ea871dd1-e45,10,24,4,6,3,assistant,asst_gen,0.0021866388597266088,0.08965219324879097,41,404,0.0896483522170355
ea871dd1-e45,10,24,5,5,2,user,user_msg,0.0005110340485771303,0.005110340485771303,10,404,0.005110121539871869
ea871dd1-e45,10,24,6,4,2,assistant,asst_gen,0.0012468636591096806,0.06857750125103243,55,404,0.06857456313707816
ea871dd1-e45,10,24,7,3,1,user,user_msg,0.0003138284171025309,0.012239308266998705,39,404,0.012238783889735698
ea871dd1-e45,10,24,8,2,1,assistant,asst_gen,0.002347840479872453,0.10095714063451547,43,404,0.10095281525697516
