method,sink,window,heavy,repeat,total_budget,source_file,task_id,reward,termination_reason,duration_s,turns
h2o,4.0,512.0,256.0,2nd,772.0,stress_h2o_1x30_4_512_256_2nd.json,0,1.0,user_stop,129.55010303703602,12
h2o,4.0,1024.0,64.0,1st,1092.0,stress_h2o_1x30_4_1024_64_1st.json,0,1.0,user_stop,199.5864054580452,14
streamingllm,4.0,32.0,0.0,run1,36.0,stress_streamingllm_1x30_4_32.json,0,0.0,task_timeout,831.2548797860509,37
streamingllm,4.0,64.0,0.0,run1,68.0,stress_streamingllm_1x30_4_64.json,0,0.0,task_timeout,815.6285143929999,33
streamingllm,4.0,128.0,0.0,run1,132.0,stress_streamingllm_1x30_4_128.json,0,1.0,user_stop,291.5241503919824,16
streamingllm,4.0,256.0,0.0,run1,260.0,stress_streamingllm_1x30_4_256.json,0,1.0,user_stop,327.8754632639466,14
streamingllm,4.0,512.0,0.0,1st,516.0,stress_streamingllm_1x30_4_512_1st.json,0,1.0,user_stop,163.11314074101392,10
streamingllm,4.0,512.0,0.0,2nd,516.0,stress_streamingllm_1x30_4_512_2nd.json,0,1.0,user_stop,219.4678061939776,12
streamingllm,4.0,1024.0,0.0,run1,1028.0,stress_streamingllm_1x30_4_1024.json,0,1.0,user_stop,208.45904183201492,10
baseline,,,,run1,,stress_baseline_1x30.json,1,1.0,user_stop,192.39217868202832,16
baseline,,,,1st,,stress_baseline_1x30_1st.json,1,1.0,user_stop,198.86092339199968,16
baseline,,,,2nd,,stress_baseline_1x30_2nd.json,1,1.0,user_stop,196.45000454597175,20
baseline,,,,3rd,,stress_baseline_1x30_3rd.json,1,1.0,user_stop,217.247185856977,18
h2o,4.0,32.0,32.0,run1,68.0,stress_h2o_1x30_4_32_32.json,1,1.0,user_stop,192.17590048606507,22
h2o,4.0,32.0,64.0,run1,100.0,stress_h2o_1x30_4_32_64.json,1,1.0,user_stop,220.76830145099666,20
h2o,4.0,64.0,32.0,run1,100.0,stress_h2o_1x30_4_64_32.json,1,1.0,user_stop,358.92151791707147,22
h2o,4.0,64.0,64.0,run1,132.0,stress_h2o_1x30_4_64_64.json,1,1.0,user_stop,431.86012440698687,36
h2o,4.0,32.0,128.0,run1,164.0,stress_h2o_1x30_4_32_128.json,1,0.0,task_timeout,803.5710796590429,75
