sim_id,context_turn,total_msgs,msg_idx,msg_dist,asst_turns_dist,role,fine_role,attn_mean,attn_sum,token_count,seq_len,attn_frac,src_file
8bdffbc4-e3d,6,12,3,3,1,user,user_msg,0.0008915611866969437,0.015156540173848043,17,253,0.01515708343373196,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,4,2,1,assistant,asst_gen,0.001612069170803556,0.12574139532267736,78,253,0.12574590230481464,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,5,1,0,user,user_msg,0.0012419229457954746,0.02359653597011402,19,253,0.023597381747002735,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,6,12,6,0,0,assistant,asst_tool_call,0.008335531911925768,0.5668161700109522,68,253,0.5668364865530647,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,0,8,4,assistant,asst_greeting,0.010692028397089517,0.09622825557380565,9,529,0.09622540504964108,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,1,7,3,user,user_msg,0.0027496694826162813,0.08523975396110473,31,529,0.08523722894413337,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,2,6,3,assistant,asst_gen,0.00269065523084024,0.08341031215604744,31,529,0.0834078413317666,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,3,5,2,user,user_msg,0.0005962767832790953,0.01013670531574462,17,529,0.010136405040910797,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,4,4,2,assistant,asst_gen,0.0009936407812475433,0.07750398093730837,78,529,0.07750168507348755,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,5,3,1,user,user_msg,0.00047152842048011446,0.008959039989122175,19,529,0.008958774599712088,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,6,2,1,assistant,asst_tool_call,0.0021402308077406763,0.14553569492636598,68,529,0.14553138379121422,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,7,1,0,user,user_msg,0.0016021270615359147,0.019225524738430977,12,529,0.0192249552297922,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,8,12,8,0,0,assistant,asst_gen,0.0017946604386601234,0.4737903558062726,264,529,0.47377632093834204,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,0,10,5,assistant,asst_greeting,0.007628224138089636,0.06865401724280673,9,883,0.06865292990298548,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,1,9,4,user,user_msg,0.001936700147017555,0.0600377045575442,31,883,0.06003675368256902,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,2,8,4,assistant,asst_gen,0.0017537922134168535,0.05436755861592246,31,883,0.054366697544511906,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,3,7,3,user,user_msg,0.0003733971386870561,0.006347751357679954,17,883,0.006347650822225456,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,4,6,3,assistant,asst_gen,0.0005714162923071014,0.04457047079995391,78,883,0.044569764894462884,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,5,5,2,user,user_msg,0.0004058620097447075,0.007711378185149442,19,883,0.007711256052622983,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,6,4,2,assistant,asst_tool_call,0.0009495928335388057,0.06457231268063879,68,883,0.06457128998670553,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,7,3,1,user,user_msg,0.0004850820420566985,0.005820984504680382,12,883,0.005820892312140091,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,8,2,1,assistant,asst_gen,0.0005363751376898559,0.14160303635012195,264,883,0.14160079364639655,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,9,1,0,user,user_msg,0.0013394392646309979,0.11921009455215881,89,883,0.11920820650702893,stress_baseline_1x10_task10_1st
8bdffbc4-e3d,10,12,10,0,0,assistant,asst_gen,0.0016117755825159168,0.42712052936671796,265,883,0.4271137646473511,stress_baseline_1x10_task10_1st
2b4996df-442,2,16,0,2,1,assistant,asst_greeting,0.018173707448618695,0.16356336703756824,9,95,0.16355569512430332,stress_baseline_1x10_task10_1st
2b4996df-442,2,16,1,1,0,user,user_msg,0.007231715583038749,0.36158577915193746,50,95,0.361568819029474,stress_baseline_1x10_task10_1st
2b4996df-442,2,16,2,0,0,assistant,asst_gen,0.013191604467995907,0.4748977608478526,36,95,0.4748754858452226,stress_baseline_1x10_task10_1st
2b4996df-442,4,16,0,4,2,assistant,asst_greeting,0.014299226918309513,0.12869304226478562,9,146,0.12869168427333402,stress_baseline_1x10_task10_1st
2b4996df-442,4,16,1,3,1,user,user_msg,0.0046541984475334175,0.23270992237667087,50,146,0.23270746678093912,stress_baseline_1x10_task10_1st
2b4996df-442,4,16,2,2,1,assistant,asst_gen,0.0069207779146785876,0.24914800492842915,36,146,0.24914537587518026,stress_baseline_1x10_task10_1st
2b4996df-442,4,16,3,1,0,user,user_msg,0.003104812438644277,0.05278181145695271,17,146,0.05278125449406259,stress_baseline_1x10_task10_1st
2b4996df-442,4,16,4,0,0,assistant,asst_gen,0.009902287389944404,0.3366777712581097,34,146,0.33667421857548396,stress_baseline_1x10_task10_1st
2b4996df-442,6,16,0,6,3,assistant,asst_greeting,0.011996567258999372,0.10796910533099435,9,234,0.10796588848821587,stress_baseline_1x10_task10_1st
2b4996df-442,6,16,1,5,2,user,user_msg,0.00285705882604816,0.142852941302408,50,234,0.14284868512698443,stress_baseline_1x10_task10_1st
2b4996df-442,6,16,2,4,2,assistant,asst_gen,0.0042648950024562916,0.1535362200884265,36,234,0.15353164561428118,stress_baseline_1x10_task10_1st
2b4996df-442,6,16,3,3,1,user,user_msg,0.002202371305269052,0.03744031218957389,17,234,0.037439196689009885,stress_baseline_1x10_task10_1st
2b4996df-442,6,16,4,2,1,assistant,asst_gen,0.0030992108207582906,0.10537316790578188,34,234,0.10537002840663363,stress_baseline_1x10_task10_1st
2b4996df-442,6,16,5,1,0,user,user_msg,0.001975759535761662,0.05334550746556488,27,234,0.05334391808395493,stress_baseline_1x10_task10_1st
2b4996df-442,6,16,6,0,0,assistant,asst_gen,0.006549385913249203,0.3995125407082014,61,234,0.39950063758992,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,0,8,4,assistant,asst_greeting,0.009218115490511991,0.08296303941460792,9,281,0.08295719767082899,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,1,7,3,user,user_msg,0.0023771713994210587,0.11885856997105293,50,281,0.11885020068616894,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,2,6,3,assistant,asst_gen,0.0033637242215970925,0.12109407197749533,36,281,0.12108554528239554,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,3,5,2,user,user_msg,0.0018561701065610739,0.031554891811538255,17,281,0.0315526699113495,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,4,4,2,assistant,asst_gen,0.00249759047453742,0.08491807613427227,34,281,0.08491209672890722,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,5,3,1,user,user_msg,0.0018436863627155414,0.04977953179331962,27,281,0.04977602662677529,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,6,2,1,assistant,asst_gen,0.0018278602079948034,0.11149947268768301,61,281,0.11149162158488442,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,7,1,0,user,user_msg,0.0014361400724737905,0.014361400724737905,10,281,0.0143603894837813,stress_baseline_1x10_task10_1st
2b4996df-442,8,16,8,0,0,assistant,asst_gen,0.010406523358209891,0.385041364253766,37,281,0.38501425202390877,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,0,10,5,assistant,asst_greeting,0.010364006408862123,0.0932760576797591,9,527,0.09327119217047523,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,1,9,4,user,user_msg,0.0025890472675200726,0.12945236337600363,50,527,0.12944561082136644,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,2,8,4,assistant,asst_gen,0.0025641023590247235,0.09230768492489005,36,527,0.09230286992831808,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,3,7,3,user,user_msg,0.001131242465121699,0.019231121907068882,17,527,0.019230118764306362,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,4,6,3,assistant,asst_gen,0.0018073612554604444,0.06145028268565511,34,527,0.061447077287310234,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,5,5,2,user,user_msg,0.0012652372764326476,0.03416140646368149,27,527,0.03415962452044296,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,6,4,2,assistant,asst_gen,0.0012061110637995491,0.0735727748917725,61,527,0.07356893715432754,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,7,3,1,user,user_msg,0.0005967572441477387,0.005967572441477387,10,527,0.0059672611581766295,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,8,2,1,assistant,asst_gen,0.0015024958727265683,0.055592347290883026,37,527,0.055589447456900073,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,9,1,0,user,user_msg,0.0008437103488826583,0.011811944884357217,14,527,0.01181132874417157,stress_baseline_1x10_task10_1st
2b4996df-442,10,16,10,0,0,assistant,asst_gen,0.0018242612441446177,0.4232286086415513,232,527,0.42320653199320485,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,0,12,6,assistant,asst_greeting,0.010135612183957064,0.09122050965561357,9,834,0.09122148370202773,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,1,11,5,user,user_msg,0.0014460231730572559,0.0723011586528628,50,834,0.07230193067973034,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,2,10,5,assistant,asst_gen,0.0018843613904917017,0.06783701005770126,36,834,0.06783773441669294,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,3,9,4,user,user_msg,0.0004189303379809965,0.00712181574567694,17,834,0.007121891791942365,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,4,8,4,assistant,asst_gen,0.0007746326080096236,0.026337508672327203,34,834,0.026337789902458202,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,5,7,3,user,user_msg,0.00035842259024287124,0.009677409936557524,27,834,0.00967751327128436,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,6,6,3,assistant,asst_gen,0.0005315960239594922,0.03242735746152903,61,834,0.03242770371865229,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,7,5,2,user,user_msg,0.00031119484232249305,0.0031119484232249306,10,834,0.003111981652399095,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,8,4,2,assistant,asst_gen,0.0007723217816763625,0.028575905922025413,37,834,0.0285762110536104,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,9,3,1,user,user_msg,0.00038739580590377694,0.005423541282652877,14,834,0.005423599194858787,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,10,2,1,assistant,asst_gen,0.0005342604197725242,0.12394841738722562,232,834,0.12394974090001844,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,11,1,0,user,user_msg,0.0017110642519084997,0.07186469858015698,42,834,0.07186546594653348,stress_baseline_1x10_task10_1st
2b4996df-442,12,16,12,0,0,assistant,asst_gen,0.0017363850581256523,0.46014204040329787,265,834,0.46014695376879156,stress_baseline_1x10_task10_1st
2b4996df-442,14,16,0,14,7,assistant,asst_greeting,0.010098238197517477,0.0908841437776573,9,1108,0.09088681576370675,stress_baseline_1x10_task10_1st
2b4996df-442,14,16,1,13,6,user,user_msg,0.0017417971909981134,0.08708985954990567,50,1108,0.08709241998432352,stress_baseline_1x10_task10_1st
2b4996df-442,14,16,2,12,6,assistant,asst_gen,0.0017534995178165344,0.06312598264139524,36,1108,0.06312783853988274,stress_baseline_1x10_task10_1st
